step,latency_ms,short_status,long_status
1,1332.6018629995815,Decode,Inactive
2,665.2008030005163,Decode,Inactive
3,38.01725399989664,Decode,Inactive
4,328.0429099995672,Decode,Chunking
5,71.07756200002768,Decode,Chunking
6,74.12847300020076,Decode,Chunking
7,76.94727400030388,Decode,Chunking
8,44.55037800016726,Decode,Chunking
9,41.10487700017984,Decode,Chunking
10,41.980218999924546,Decode,Chunking
11,41.522072000589105,Decode,Chunking
12,42.41178300071624,Decode,Chunking
13,55.51646299954882,Decode,Chunking
14,42.67743999935192,Decode,Chunking
15,50.05044999961683,Decode,Chunking
16,46.13587199946778,Decode,Chunking
17,46.33831299997837,Decode,Chunking
18,54.98746299963386,Decode,Chunking
19,58.77936100023362,Decode,Chunking
20,52.94758699983504,Decode,Chunking
21,51.94765200030815,Decode,Chunking
22,46.65126399959263,Decode,Chunking
23,58.61612100034108,Decode,Chunking
24,51.08801499955007,Decode,Chunking
25,57.014375000107975,Decode,Chunking
26,51.054355999440304,Decode,Chunking
27,46.39649500040832,Decode,Chunking
28,41.61705700062157,Decode,Chunking
29,45.772452000164776,Decode,Chunking
30,40.931991999968886,Decode,Chunking
31,46.24258700005157,Decode,Chunking
32,42.72676999971736,Decode,Chunking
33,50.02020600022661,Decode,Chunking
34,46.40765500062116,Decode,Chunking
35,49.49617500005843,Decode,Chunking
36,46.100499000203854,Decode,Chunking
37,63.28074999964883,Decode,Chunking
38,52.1491600002264,Decode,Chunking
39,50.33593000007386,Decode,Chunking
40,60.524191999320465,Decode,Chunking
